031306,64.4,40.0
031309,64.4,39.0
031312,64.4,40.0
031313,64.4,39.0
031314,64.4,39.0
031315,64.4,39.0
031316,64.4,39.0
031317,64.4,39.0
031318,64.4,41.0
031320,64.4,40.0
031321,64.4,40.0
031322,64.4,40.0
031323,64.4,41.0
031324,64.4,40.0
031325,64.4,40.0
031326,64.4,40.0
031327,64.4,40.0
031328,64.4,40.0
031329,64.4,40.0
031330,64.4,41.0
031331,64.4,40.0
031332,64.4,43.0
031335,18.0,43.0
031338,18.0,43.0
031339,18.0,33.0
031341,43.0,20.0
031342,43.0,22.0
031344,34.0,28.0
031345,26.0,31.0
031346,23.0,33.0
031346,69.8,34.0
031347,69.8,35.0
031350,68.0,37.0
031351,66.2,37.0
031352,66.2,38.0
031353,66.2,37.0
031354,66.2,37.0
031356,66.2,37.0
031357,66.2,37.0
031358,66.2,37.0
031359,66.2,37.0
031400,66.2,37.0
031401,66.2,37.0
031402,66.2,37.0
031403,66.2,37.0
031404,66.2,38.0
031405,66.2,37.0
031406,66.2,38.0
031407,66.2,37.0
031408,66.2,37.0
031409,66.2,37.0
031410,66.2,38.0
031411,66.2,37.0
031412,66.2,37.0
031413,66.2,37.0
031414,66.2,37.0
031415,66.2,38.0
031416,66.2,38.0
031418,66.2,38.0
031419,66.2,38.0
031420,66.2,38.0
031421,66.2,38.0
031422,66.2,38.0
031438,66.2,38.0
031439,68.0,37.0
031440,68.0,37.0
031441,68.0,37.0
031442,68.0,37.0
031443,68.0,37.0
031444,68.0,37.0
031445,68.0,37.0
031446,68.0,38.0
031447,68.0,37.0
031448,68.0,37.0
